Sl. No.,State/UT,City / Town,Annual Average Concentration of PM10 (µg/m3) - National Standard (Annual Average): 60 µg/m3
110,Rajasthan,Kota,114
111,Madhya Pradesh,Ujjain,113
112,Jharkhand,Jamshedpur,112
113,Rajasthan,Alwar,112
114,West Bengal,Malda,112
115,Gujarat,Vadodara,111
116,Punjab,Kotladoom (Ajnala),111
117,Uttar Pradesh,Raibareli,111
118,Jharkhand,Ranchi,110
119,Punjab,Patiala,110
120,Uttarakhand,Haldwani,110
121,Maharashtra,Pune,108
122,West Bengal,Amtala,108
123,West Bengal,Kolkata,107
124,Maharashtra,Mumbai,106
125,Punjab,AspalKhurd (Tapa),106
126,West Bengal,Balurghat,106
127,West Bengal,Ghatal,106
128,Madhya Pradesh,Indore,105
129,Maharashtra,Chandrapur,105
130,Punjab,Bhatinda,105
131,Punjab,Khanna,105
132,Tamilnadu,Gummidipoondi,105
133,West Bengal,Siliguri,105
134,Punjab,Mukandpur (Nawashahar),104
135,West Bengal,Raigunj,104
136,Andhra Pradesh,Visakhapatnam,103
137,Odisha,Bonaigarh,103
138,Odisha,Sambalpur,103
139,Odisha,Jharsuguda,102
140,West Bengal,Medinipur,102
141,Assam,Nagaon,101
142,Meghalaya,Umaim,101
143,West Bengal,Jhargram,101
144,Gujarat,Surat,100
145,Punjab,DeraBassi,100
146,Telangana,Kothur,100
147,West Bengal,Coochbihar,100
148,Punjab,Changal (Sangrur),99
149,Chandigarh,Chandigarh,98
150,Madhya Pradesh,Mandideep,98
151,Madhya Pradesh,Ratlam,98
152,Assam,Tezpur,97
153,Jammu and Kashmir,Srinagar (K),97
154,Jharkhand,Jorapokhar,97
155,West Bengal,Alipurduar,97
156,West Bengal,Haldia,97
157,Maharashtra,Badlapur,96
158,Odisha,Angul,96
159,Rajasthan,Ajmer,96
160,West Bengal,Jalpaiguri,96
161,Punjab,Naudhrani (Malerkotla),95
162,Odisha,Bhubaneshwar,94
163,Punjab,QilaBharian (Sangrur),94
164,Maharashtra,Jalna,93
165,Assam,Nalbari,92
166,Haryana,Mandikhera,92
167,Himachal Pradesh,Nalagarh,92
168,Maharashtra,Navi Mumbai,92
169,Punjab,Kharaori (Sirhind),92
170,Punjab,Fatehpur (Samana),91
171,Punjab,Guru Ki Dhab (Kotkapura),91
172,Punjab,LakhokeBehram (Ferozpur),91
173,Telangana,Ramagundum,91
174,West Bengal,Rishra,91
175,Himachal Pradesh,Poanta Sahib,90
176,Karnataka,Raichur,90
177,Punjab,Rakhra (Patiala),90
178,West Bengal,Barasat,90
179,Madhya Pradesh,Pithampur,89
180,Telangana,Hyderabad,89
181,Nagaland,Dimapur,88
182,Odisha,Talcher,88
183,Odisha,Cuttack,87
184,Punjab,Bara Pind (Goraya),87
185,West Bengal,Madhyamgram,87
186,West Bengal,Barrckpore,86
187,West Bengal,Tribeni,86
188,Maharashtra,Kolhapur,85
189,Punjab,Mureedke (Batala),85
190,Punjab,Peer Mohammad (Jalalabad),85
191,West Bengal,Dankuni,85
192,Maharashtra,Pimpri-Chinchwad,84
193,Madhya Pradesh,Dewas,83
194,West Bengal,Chinsura,83
195,West Bengal,Kalyani,83
196,West Bengal,Ranaghat,83
197,Dadara and Nagar Haveli and Daman and Diu,Silvasa,82
198,Telangana,Sangareddy,82
199,Tripura,Agartala,82
200,Dadara and Nagar Haveli and Daman and Diu,Daman,81
201,Karnataka,Belgaum,81
202,Maharashtra,Ulhasnagar,81
203,Punjab,Binjon (Garshankar),81
204,Madhya Pradesh,Sagar,80
205,Madhya Pradesh,Satna,80
206,Maharashtra,Aurangabad,80
207,West Bengal,Krishnanagar,80
208,Bihar,Gaya,79
209,Karnataka,Gulbarga / Kalaburgi,79
210,West Bengal,Baharampur,79
211,Gujarat,Gandhinagar,78
212,Punjab,NayaNangal,78
213,Telangana,Patencheru,78
214,West Bengal,Bankura,78
215,West Bengal,Rampurhat,78
216,Andhra Pradesh,Srikakulam,77
217,Kerala,Kollam,77
218,Maharashtra,Ambernath,77
219,Nagaland,Kohima,77
220,Odisha,Puri,77
221,Punjab,Batala,77
222,West Bengal,Bardhaman,77
223,West Bengal,Suri,77
224,Odisha,Balasore,76
225,Punjab,Aligarh (Jagraon),76
226,Telangana,Karimnagar,76
227,West Bengal,Bolpur,75
228,Punjab,Dera Baba Nanak,74
229,West Bengal,Purulia,74
230,Goa,Panaji,73
231,Kerala,Kannur,73
232,Andhra Pradesh,Rajahmundry,72
233,Andhra Pradesh,Vizianagaram,72
234,Dadara and Nagar Haveli and Daman and Diu,Patlara (Daman),72
235,Gujarat,Nandesari,72
236,Jharkhand,Barajamda,72
237,Madhya Pradesh,Amlai,72
238,Maharashtra,Nagpur,72
239,Maharashtra,Sangli,72
240,Maharashtra,Solapur,72
241,Telangana,Khammam,72
242,Chattisgarh,Bilaspur,71
243,Dadara and Nagar Haveli and Daman and Diu,Baldevi (Dadra & Nagar Haveli),71
244,Karnataka,Bidar,71
245,Karnataka,Hubli-Dharwad,71
246,Odisha,Brajrajnagar,71
247,Telangana,Adilabad,71
248,Telangana,Nalgonda,71
249,Madhya Pradesh,Rewa,70
250,Punjab,JaitoSarja (Batala),70
251,Odisha,Rayagada,68
252,Arunachal Pradesh,Itanagar,67
253,Goa,Cuncolim,67
254,Himachal Pradesh,Damtal,67
255,Karnataka,Bangalore,67
256,Tamilnadu,Tuticorin / Thoothukudi,67
257,Madhya Pradesh,Chindwara,66
258,Andhra Pradesh,Vijayawada,65
259,Chattisgarh,Raigarh,65
260,Mizoram,Lawngtlai,65
261,Andhra Pradesh,Anatapur,64
262,Goa,Usgao-Pale,64
263,Maharashtra,Amravati,64
264,Sikkim,Rangpo,64
265,West Bengal,Kalimpong,64
266,Andhra Pradesh,Eluru,63
267,Goa,Ponda,63
268,Maharashtra,Akola,63
269,Odisha,Berhampur,63
270,Odisha,Konark,63
271,Chattisgarh,Raipur,62
272,Goa,Codli,62
273,Goa,Kundaim,62
274,Goa,Tilamol,62
275,Karnataka,Tumkuru,62
276,Madhya Pradesh,Damoh,62
277,Maharashtra,Bhiwandi,62
278,West Bengal,Darjeeling,62
279,Andhra Pradesh,Kakinada,61
280,Chattisgarh,Durg-Bhillainagar,61
281,Chattisgarh,Korba,61
282,Goa,Bicholim,61
283,Goa,Honda,61
284,Andhra Pradesh,Guntur,60
285,Goa,Sanguem,60
286,Karnataka,Hassan,60
287,Maharashtra,Jalgaon,60
288,Tamilnadu,Theni,60
289,Telangana,Warangal,60
290,Goa,Amona,59
291,Goa,Margao,59
292,Goa,Tuem,59
293,Karnataka,Yadgir,59
294,Maharashtra,Nashik,59
295,Telangana,Nizamabad,59
296,Andhra Pradesh,Kurnool,58
297,Goa,Assanora,58
298,Goa,Vasco,58
299,Himachal Pradesh,Shimla,58
300,Tamilnadu,Chennai,58
301,Assam,North Lakhimpur,57
302,Goa,Mapusa,57
303,Karnataka,Chikkaballapur,57
304,Kerala,Palakkad,57
305,Madhya Pradesh,Maihar,57
306,Maharashtra,Latur,57
307,Andhra Pradesh,Amaravati,55
308,Andhra Pradesh,Nellore,55
309,Arunachal Pradesh,Naharlagun,54
310,Assam,Daranga,54
311,Karnataka,Devanagere,54
312,Maharashtra,Nanded,54
313,Tamilnadu,Madurai,54
314,Andhra Pradesh,Kadapa,53
315,Andhra Pradesh,Ongole,53
316,Himachal Pradesh,Una,53
317,Kerala,Kochi,53
318,Himachal Pradesh,Sunder Nagar,52
319,Karnataka,Ramanagara,52
320,Kerala,Alappuzha,52
321,Tamilnadu,Tiruvannamalai,52
322,Andhra Pradesh,Tirupati,51
323,Karnataka,Mangalore,51
324,Kerala,Kozhikode,51
325,Assam,Golaghat,50
326,Karnataka,Bijapur / Vijayapura,50
327,Karnataka,Kolar,50
328,Kerala,Ernakulam,50
329,Karnataka,Chamarajanagar,49
330,Kerala,Thrissur,49
331,Sikkim,Gangtok,49
332,Tamilnadu,Cuddalore,48
333,Assam,Sivasagar,47
334,Assam,Tinsukia,47
335,Kerala,Eloor,47
336,Kerala,Thiruvanantapuram,47
337,Tamilnadu,Coimbatore,47
338,Tamilnadu,Trichy,47
339,Andhra Pradesh,Chittor,46
340,Assam,Silcher,46
341,Karnataka,Mysore,46
342,Karnataka,Shimaga / Shivamogga,45
343,Himachal Pradesh,Dharamshala,42
344,Meghalaya,Khlihriat,42
345,Pondicherry,Pondicherry,42
346,Tamilnadu,Dharmapuri,42
347,Tamilnadu,Villupuram,42
348,Assam,Magherita,41
349,Himachal Pradesh,Manali,41
350,Karnataka,Bagalkote,41
351,Madhya Pradesh,Nagda,41
352,Pondicherry,Karaikal,41
353,Assam,Bongaigaon,40
354,Karnataka,Chikkamagaluru,40
355,Karnataka,Koppal,40
356,Mizoram,Aizwal,40
357,Tamilnadu,Salem,40
358,Assam,Dibrugarh,39
359,Tamilnadu,Mettur,39
360,Tamilnadu,Nagarcoil,39
361,Himachal Pradesh,Parwanoo,38
362,Karnataka,Chitradurga,38
363,Kerala,Kottayam,38
364,Meghalaya,Dawki,37
365,Meghalaya,Tura,37
366,Mizoram,Saiha,37
367,Karnataka,Madikeri,36
368,Meghalaya,Nongstoin,35
369,Mizoram,Serchhip,35
370,Tamilnadu,Sivagangai,35
371,Tamilnadu,Tiruvarur,35
372,Karnataka,Mandya,34
373,Tamilnadu,Perambalur,34
374,Karnataka,Udupi,33
375,Kerala,Pathanamthitta,33
376,Karnataka,Gadag,32
377,Mizoram,Mamit,32
378,Sikkim,Singtam,32
379,Kerala,Mallapuram,31
380,Sikkim,Namchi,30
381,Kerala,Wayanad,29
382,Sikkim,Pelling,29
383,Meghalaya,Shillong,27
384,Sikkim,Chungthang,27
385,Sikkim,Mangan,27
386,Mizoram,Lunglei,25
387,Sikkim,Ravangla,23
388,Mizoram,Champhai,22
389,Mizoram,Kolasib,17
